	TCGA-E2-A15F-01	TCGA-AO-A1KR-01	TCGA-D8-A1JM-01	TCGA-A7-A4SE-01	TCGA-E2-A15S-01	TCGA-A2-A0ER-01	TCGA-E2-A105-01	TCGA-A7-A5ZW-01	TCGA-BH-A0EA-01	TCGA-AN-A0AS-01	TCGA-E2-A14O-01	TCGA-E2-A574-01	TCGA-C8-A274-01	TCGA-AN-A0AJ-01	TCGA-E2-A1AZ-01
ADCY1	354	22	479	223	1289	11098	18744	2477	549	539	1999	15	2514	590	152
ADCY2	91	11	92	31	12	43	21	164	131	258	1039	63	927	230	16
ADCY3	4540	702	10075	2239	4445	5150	2717	2022	2335	1855	605	2031	3081	1250	919
ADCY4	209	71	64	358	328	299	340	390	814	69	136	20	171	117	276
ADCY5	771	5	10	45	3894	1545	959	104	1032	6	3	0	2095	23	11
ADCY6	5560	826	6477	4117	19228	7539	4939	3504	5491	2246	2661	1291	5749	5525	1026
ADCY7	1021	202	5205	2091	296	698	584	1332	761	2111	456	1190	1052	1596	2109
ADCY8	30	0	149	3	0	145	0	3	0	10	0	2	0	0	0
ADCY9	3312	369	1222	931	3852	3885	3200	986	2078	4122	2606	397	7591	1738	427
ADCYAP1R1	2	0	9	7	45	5	0	7	12	1	0	0	2	0	6
ADCYAP1	15	666	261	13	4	119	4	254	17	0	13	0	1	18	1
ADC	462	106	260	577	666	460	624	840	385	324	333	101	315	373	173
ADD1	14863	3788	9493	9962	26075	22898	15667	9937	11702	6175	8964	6445	17171	17600	4787
ADD2	54	325	3046	77	263	92	94	35	64	29	9	705	65	33	536
ADD3	1991	968	13898	2188	6567	1310	1662	5939	1817	3184	385	1268	713	9906	5713
ADH1A	7	5	0	2	3	12	0	1	110	1	0	0	0	3	2
ADH1B	1229	933	0	687	574	1161	575	62	14987	31	215	1	2	307	216
ADH1C	8	1	1	22	18	24	3	27	69	1146	4	1	1	7	13
ADH4	0	15	0	5	0	0	2	0	6	0	0	0	0	0	4
ADH5	3477	2190	3651	2753	5219	6765	6845	5759	3602	4372	3694	3707	5665	4991	3217
ADH6	0	1	1	0	0	2	2	0	1	0	3	0	1	4	1
ADH7	0	0	0	2	0	0	0	0	0	1	0	0	0	0	5
ADHFE1	272	14	67	26	102	160	26	236	234	100	619	11	158	34	70
ADI1	1906	3723	7132	1915	2965	1963	2236	3571	2586	1321	2662	6505	4275	8383	2783
ADIG	1	1	4	0	0	0	1	1	0	0	0	0	0	0	0
ADIPOQ	2991	786	1	506	505	944	858	3	21224	14	186	16	5	164	138
ADIPOR1	10882	6095	23716	5240	15440	16097	8134	6576	8121	7708	13173	4815	21208	9525	3232
ADIPOR2	8498	4463	33520	3861	14539	6308	8132	3451	4966	6096	18637	3232	6550	13509	8608
ADK	498	915	979	323	773	1817	887	1140	606	1218	1975	1207	2096	8053	775
ADM2	347	1001	2071	685	1999	972	114	490	440	1852	241	311	768	490	42
ADM	297	709	5278	2959	84	115	101	164	444	3141	3081	721	122	1785	123
ADNP2	2010	968	2974	539	1979	3047	1377	1611	1716	2112	977	379	3407	4547	2125
ADNP	18697	2783	13480	6767	20705	12930	19291	6374	6758	6663	4755	2744	23551	14913	4693
ADORA1	1298	4973	479	381	1510	5520	230	340	242	129	297	129	626	472	387
ADORA2A	257	136	227	151	25740	205	144	728	1393	561	201	91	210	317	122
ADORA2B	127	76	2061	311	115	61	70	107	135	67	70	505	418	96	87
ADORA3	261	30	143	97	164	224	370	332	168	601	252	24	560	440	259
ADO	2140	1605	3402	860	4451	2398	4389	2371	1521	2402	1526	1087	3897	1737	2197
ADPGK	2204	1375	7862	1265	4973	2875	2494	1984	1686	1632	2060	1371	3450	3356	1062
ADPRHL1	214	81	101	124	71	176	291	234	547	267	710	248	271	277	61
ADPRHL2	2027	2701	2395	2298	1339	1942	2071	1523	993	1924	2468	1764	1581	3154	1147
ADPRH	891	479	1293	998	337	497	300	502	699	530	383	435	328	609	749
ADRA1A	7	2	4	0	2	5	2	0	23	0	0	0	3	1	7
ADRA1B	121	7	43	92	60	48	35	51	27	13	6	8	23	5	15
ADRA1D	3	2	16	18	15	12	55	26	25	14	1	0	6	8	5
ADRA2A	1903	64	21698	545	236	340	155	2356	1870	802	1271	758	508	675	221
ADRA2B	340	14	1402	21	163	15	42	22	50	868	4	38	42	17	12
ADRA2C	115	31	57	30	1573	133	1347	83	87	151	17	165	414	28	42
ADRB1	16	19	15	13	5	32	4	125	608	5	147	153	3	2	3
ADRB2	50	23	16	69	61	82	27	138	326	69	22	1	28	83	35
ADRB3	2	6	1	1	0	1	2	2	1	0	0	0	0	0	0
ADRBK1	4466	3505	6412	4685	8848	7427	7091	4064	3290	5430	5651	2890	5298	6098	1876
ADRBK2	873	145	837	514	2416	2566	1039	1206	2466	1338	1103	26	1413	2082	790
ADRM1	4016	5691	5457	4200	7609	2604	6073	2879	2478	3536	7770	8545	3614	6148	1380
ADSL	903	2077	2183	2234	2976	2535	1693	2232	1610	2112	2022	3962	1805	3011	796
ADSSL1	102	126	104	40	39	1078	1255	274	302	531	399	44	323	152	68
ADSS	3117	2322	7054	3276	6034	5547	3727	8640	3965	4792	4671	3807	12411	8091	1984
AEBP1	36789	5967	1210	43275	7167	12508	25164	34582	28146	140147	31194	11313	30304	35468	9165
AEBP2	1160	1051	10408	1434	1822	1810	2056	1660	1174	1360	2252	1471	1457	2408	2518
AEN	1564	1032	2049	1954	965	1416	1501	981	956	851	669	903	1451	1253	378
AES	12606	17383	17107	6845	18736	24389	35119	14874	12936	10444	17790	8585	21059	30057	2145
AFAP1L1	237	143	696	659	519	466	391	566	1014	374	152	80	560	362	481
AFAP1L2	3064	442	646	757	15993	513	954	1152	1420	319	3979	181	1188	3653	1438
AFAP1	2785	1239	15309	4226	5521	9113	4763	2654	3066	3062	881	1329	9071	2597	2016
AFARP1	9	6	20	14	10	12	10	11	20	12	3	18	4	5	15
AFF1	6347	1397	5077	1201	3914	9243	3594	5134	4968	2910	2464	606	9908	6001	3335
AFF2	43	3	28	110	30	21	15	63	105	40	12	123	20	8	99
AFF3	28787	31	48	259	31592	55248	17675	1444	8213	38	4699	14	2563	1675	93
AFF4	15699	1055	11701	3349	20178	18970	11231	6126	6044	8495	5989	1269	16571	13744	5977
AFG3L1	543	423	773	618	1095	528	1655	300	411	394	458	347	509	531	339
AFG3L2	4469	1394	4513	3363	7993	5719	5312	3275	2730	3209	2378	1646	4054	4642	1492
AFMID	1642	1956	2107	283	1152	2072	2232	1519	960	581	4078	1618	1849	1333	299
AFM	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
AFP	0	0	0	1	135	5	1	157	31	0	0	0	0	0	1
AFTPH	7032	2464	7211	2398	7289	7962	5524	5576	4794	5633	3524	1792	12416	6583	1545
AG2	357	288	1861	363	222	381	608	598	1081	296	296	178	189	250	151
AGAP11	107	2	285	79	380	67	202	84	125	51	411	29	52	31	61
AGAP1	2168	625	8280	359	1637	3387	1583	1090	1508	2029	726	537	4210	2257	177
AGAP2	120	96	125	72	716	91	201	210	143	78	298	42	83	352	137
AGAP3	2682	4590	3654	4054	8285	3117	6842	2768	2956	3198	2459	3876	2561	2971	1148
AGAP4	590	922	471	297	1046	262	903	350	465	336	551	323	829	791	334
AGAP5	138	140	122	61	191	91	105	88	109	136	95	27	251	138	31
AGAP6	396	560	244	184	735	188	567	213	245	153	235	136	443	330	253
AGAP7	15	50	22	19	260	12	34	17	15	22	33	22	46	34	22
AGAP8	114	70	102	71	341	46	183	46	140	52	85	34	85	78	70
AGA	1164	499	1250	260	773	2839	2001	1745	1333	718	1332	698	2553	789	937
AGBL1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0
AGBL2	21	22	19	35	606	62	202	33	35	2	152	15	89	16	31
AGBL3	4	14	8	4	9	7	20	23	19	2	1	8	16	11	5
AGBL4	9	17	36	1	62	6	138	41	8	1	14	8	86	18	3
AGBL5	1591	2518	3328	1821	5760	3414	5099	1420	1489	447	928	2031	2487	2378	1921
AGER	24	153	24	367	223	26	111	63	36	29	59	78	107	66	50
AGFG1	4933	2161	14096	2236	3153	5588	4931	3573	2841	4206	1716	2893	8834	4709	2136
AGFG2	1601	1038	400	419	1050	1879	693	616	915	303	1371	204	1270	633	487
AGGF1	3272	535	1516	886	4862	3964	4808	2534	1593	1846	3388	944	3704	5151	1563
AGK	1303	1139	2815	2107	1643	1494	1973	1326	1098	737	1531	1027	2039	1429	1200
AGL	2472	352	5870	970	1640	3526	4202	2165	1484	11231	876	1072	2312	3808	1331
AGMAT	85	111	357	9	108	86	38	52	84	59	86	281	257	62	151
AGPAT1	3521	2613	3781	5722	11233	7079	6960	3354	4115	2960	3871	4262	4566	5446	1543
AGPAT2	812	1818	3120	1510	2557	835	4121	1888	5008	4193	2379	5696	2962	2763	239
AGPAT3	7454	4186	5313	3500	11361	7305	7334	4691	5236	4153	3338	2905	9223	5797	2750
AGPAT4	245	58	1418	425	279	216	529	559	316	913	160	1248	233	354	155
AGPAT5	1623	861	3567	1261	1906	1706	2006	3482	1819	890	1082	1588	3986	1455	2213
AGPAT6	10550	10537	15245	2128	16121	38045	18331	4913	3164	17109	5032	6158	6310	3005	3176
AGPAT9	321	145	193	34	445	158	130	166	261	100	70	100	90	154	146
AGPHD1	133	25	27	64	178	285	474	77	98	52	39	47	117	51	24
AGPS	3049	956	2819	2073	3631	10334	2754	1510	3728	3337	2193	1970	449	2247	3035
AGR2	27964	144	1004	177	96676	65133	42385	8713	8075	34706	51175	5872	46190	67430	82
AGR3	8009	31	51	29	20912	7887	7237	4839	3165	676	13509	452	6824	4685	10
AGRN	9206	9590	9914	12714	12803	9763	7913	12894	13125	20528	9933	12806	10452	7553	2480
AGRP	1	0	0	2	4	1	1	0	1	0	0	13	0	2	1
AGTPBP1	602	326	2559	862	1135	1937	1835	509	496	588	328	1788	658	1344	715
AGTR1	887	8	9	73	408	6248	47	618	3247	128	31	0	224	17	18
AGTR2	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0
AGTRAP	1693	2996	2967	734	1161	2686	4244	2458	1621	1300	4010	3973	2900	2395	1117
AGT	1206	185	25	164	22	173	405	160	1006	969	854	519	5216	2235	114
AGXT2L1	10	43	29	0	0	0	0	20	146	0	38	11	2	88	2
AGXT2L2	649	291	547	620	1647	750	742	950	648	821	899	409	1073	956	241
AGXT2	0	0	0	0	0	1	0	1	0	0	7	0	0	2	0
AGXT	0	0	0	5	1	0	23	1	6	2	0	0	19	0	0
AHCTF1	4155	5588	13168	4187	7464	5856	4260	3007	4693	3362	4924	2379	12949	9644	4046
AHCYL1	13535	2727	8212	7015	8835	27573	11316	9175	8190	8881	12453	3797	12292	9661	3250
AHCYL2	2476	284	5243	792	4015	6477	2094	1395	1652	579	566	510	2140	758	1018
AHCY	7102	8875	19725	7034	19646	9943	13274	6756	6781	7604	8898	21098	14048	26313	5410
AHDC1	1223	1716	2530	1363	1597	1060	2991	1641	1781	1286	1628	735	2249	1273	1282
AHI1	755	523	1195	460	1100	1362	1899	797	672	396	490	810	1310	866	630
AHNAK2	3272	100	1817	5767	1021	2314	3826	1346	2965	7591	6351	614	4727	1529	484
AHNAK	129455	4061	30841	34075	188869	201029	54791	52905	94413	81459	32169	11382	53528	128903	32269
AHRR	180	80	294	72	233	75	166	135	86	233	78	35	132	98	26
AHR	10735	1183	3095	2098	1576	4891	1830	6108	4590	11009	2062	5035	8878	6484	3355
AHSA1	3087	5698	7757	2870	4772	4872	7293	3344	2876	8764	8510	5194	5877	9220	3157
AHSA2	1554	999	654	849	2195	588	3236	514	862	429	536	957	2107	475	604
AHSG	0	3	2	0	0	0	0	0	0	0	0	0	0	0	1
AHSP	0	3	0	1	0	1	0	3	1	0	0	0	3	0	1
AICDA	2	2	1	1	0	0	2	0	1	0	2	0	0	2	1
AIDA	2912	4992	3431	2270	3135	3827	3576	3360	2752	2646	4238	3672	8403	7719	2171
AIF1L	1448	2524	15047	1771	9728	1099	5909	720	1708	1494	603	10400	2736	1790	1947
AIF1	270	199	344	264	308	640	454	1190	808	743	509	88	614	1755	606
AIFM1	3158	2861	4285	1686	3199	4207	3080	1843	2308	2040	5567	2486	5851	6772	1552
AIFM2	1425	2062	2123	518	1981	1275	1282	695	1329	1457	1157	819	508	383	546
AIFM3	9	92	4	16	291	66	364	41	24	14	130	29	48	5	2
AIG1	2534	890	1766	397	2528	7868	3559	1572	1408	1080	4250	1358	1064	1352	369
AIM1L	20	279	18	87	82	4	62	66	21	29	13	477	67	76	70
AIM1	2002	704	2357	960	14894	909	1962	3812	1972	2584	4454	972	4039	123515	1223
AIM2	53	34	43	149	5	13	9	16	34	17	7	5	19	288	87
AIMP1	3431	1464	2921	1144	6633	3669	4875	2918	1716	2519	2818	2306	3316	3429	1826
AIMP2	1305	512	1336	619	1182	1078	1113	1089	638	988	1434	4857	1035	2017	504
AIPL1	1	0	15	0	0	0	0	0	0	0	0	1	0	0	0
AIP	738	2639	1650	1469	2509	1353	2706	2070	1629	1932	10225	2727	2398	3439	819
AIRE	1	0	0	3	0	1	0	1	0	0	0	0	0	0	1
AJAP1	37	18	21	17	297	9	47	54	68	5	4	0	13	8	23
AK1	653	1493	618	1025	1382	4338	3095	1482	1198	1656	2212	1435	1800	2064	173
AK2	5472	6090	15126	5564	9990	7019	6271	5079	3202	5262	6216	6775	6720	7023	3504
AK3L1	1040	1223	1779	760	1344	1671	421	464	354	1004	590	984	945	1631	980
AK3	2527	1643	3067	2782	2720	3754	4305	5136	2469	3322	1271	2304	3951	3116	3582
AK5	157	100	35	184	80	168	330	506	6022	174	96	6	1005	79	41
AK7	30	3	41	10	19	356	109	52	33	33	30	21	57	310	2
AKAP10	2542	114	2163	645	1352	3278	866	873	1070	587	3705	198	1631	1044	593
AKAP11	7242	530	2571	1836	2745	8420	4098	3113	3749	4211	877	1334	6639	3249	2487
AKAP12	1992	134	795	1041	1011	1788	927	2742	2917	1635	221	91	537	750	1208
AKAP13	5364	1616	7666	4943	6195	9517	5017	5129	7383	5469	1434	1182	7377	5239	3793
AKAP14	3	0	0	51	108	0	5	0	0	0	3	4	11	203	0
AKAP1	5003	1137	2773	1952	3575	5267	7326	3044	3893	2587	5956	3688	4175	7307	2169
AKAP2	1385	115	973	1884	1139	1461	1488	698	2674	1052	134	81	602	919	2247
AKAP3	110	106	466	18	32	41	18	68	83	1	39	27	10	34	657
AKAP4	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0
AKAP5	137	59	254	207	526	497	396	410	246	113	187	47	449	575	248
AKAP6	86	37	76	39	59	159	182	78	168	61	51	55	52	88	62
AKAP7	307	121	664	487	257	419	298	422	162	117	71	274	349	518	204
AKAP8L	2634	2984	2572	1452	2569	2758	5960	1508	1541	2125	2357	2618	2084	4361	969
AKAP8	1792	1187	2605	1613	1915	1619	2084	1676	1382	1056	1648	1707	1979	4318	720
AKAP9	6273	948	7564	2438	9048	23128	5712	4738	4666	2981	2821	870	12624	2752	4871
AKD1	186	94	120	162	543	881	845	290	324	522	486	142	878	360	122
AKIRIN1	4499	1000	9513	3014	3440	4607	3707	2536	2116	2902	1425	1985	4075	3340	2299
AKIRIN2	1223	1430	2925	1526	3338	1592	4269	1403	1141	1645	2202	2258	1858	2157	904
AKNAD1	4	2	1	1	12	2	12	3	0	2	6	0	6	0	1
AKNA	968	628	1701	1434	820	856	872	1324	1362	1343	445	313	1263	2427	1164
AKR1A1	2797	3290	5122	3395	6392	8999	5408	5491	3633	5191	9063	4635	5606	5757	2131
AKR1B10	20	5	98	8	0	61	78	19	7	39	25	0	216	124	8
AKR1B15	1	2	135	12	0	3	3	5	0	4	6	2	6	10	312
AKR1B1	1277	658	293	1971	1319	830	758	1622	1302	1820	631	4395	1119	2150	2810
AKR1C1	252	111	15	125	69	172	137	147	1228	254	2190	164	145	111	58
AKR1C2	130	9	6	99	43	121	86	64	1303	68	5622	192	33	42	89
AKR1C3	429	158	577	244	549	553	209	842	1364	338	3136	104	551	163	115
AKR1C4	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0
AKR1CL1	2	0	1	0	1	0	0	0	6	0	0	3	6	0	0
AKR1D1	0	1	1	1	1	0	0	16	1	0	21	0	1	7	0
AKR1E2	9	114	0	17	10	71	4	21	27	71	13	80	589	41	55
AKR7A2	3834	1075	3619	749	2613	8091	4927	3637	2143	3677	4228	2625	2895	3450	727
AKR7A3	1807	41	9	17	652	4204	68	1106	165	4999	766	91	52	2449	4
AKR7L	175	34	22	13	119	190	154	150	33	290	72	33	11	123	27
AKT1S1	3797	3357	2098	1554	2607	2581	3622	2190	2127	2350	2727	1673	3655	3510	713
AKT1	5773	4809	6704	5181	10032	15311	19760	10264	8275	28414	7013	3952	15887	10251	2444
AKT2	10359	4334	12891	7198	14437	5768	8905	4627	5269	5038	4281	4796	9927	9909	1833
AKT3	591	147	393	2794	1794	748	335	2754	1244	1944	222	1926	700	873	739
AKTIP	2186	390	1838	661	1425	2998	3039	1437	915	1748	1673	809	1822	1730	1155
ALAD	2424	842	7218	1949	3512	7348	2770	4009	4770	2645	3092	636	5705	3145	918
ALAS1	2045	1009	5536	2167	3136	2752	2919	1684	1854	1509	2059	2455	5115	6431	732
ALAS2	0	0	1	0	2	5	2	9	0	0	2	0	1	1	1
ALB	64	18	2	22	20	68	56	15	19	1	29	1	4	11	10
ALCAM	39052	18743	467	5469	5263	30816	5814	11322	8756	7731	14600	1215	15597	24338	3222
ALDH16A1	1565	1472	615	1396	2201	775	2984	1632	1484	567	1560	1129	2403	2303	386
ALDH18A1	5180	5432	12858	4685	12335	9213	7740	5206	5927	5602	11148	4921	19184	5982	8391
ALDH1A1	403	44	466	2627	1783	527	389	1895	1501	441	277	83	461	2520	783
ALDH1A2	41	23	47	53	45	119	94	257	209	32	51	40	5	30	97
ALDH1A3	1021	218	888	607	420	436	294	1609	1064	686	90	971	164	779	271
ALDH1B1	1166	1154	5779	3421	1159	1494	1874	2432	2572	4171	1366	5423	2600	1830	1491
ALDH1L1	50	5	24	15	20	7	14	17	1027	0	3	31	5	5	16
ALDH1L2	193	589	6461	1601	312	358	294	1352	809	1529	331	362	469	511	824
ALDH2	2359	2649	281	4420	5610	2109	883	7330	6055	1912	9692	1273	8251	10001	2237
ALDH3A1	5	1	210	18	5	12	3	22	10	5	23	65	4	3	0
ALDH3A2	5370	506	10506	1726	4269	13606	3650	3828	2773	1933	48007	2402	3799	4405	1198
ALDH3B1	289	146	1423	755	191	2732	330	310	451	1031	5765	1209	285	468	235
ALDH3B2	2038	1361	4353	2502	19799	5734	8270	2336	951	1634	2135	923	9270	14701	465
ALDH4A1	2103	745	121	351	2740	4251	3038	1402	2848	167	2888	1031	1881	1568	191
ALDH5A1	1635	484	1263	723	5546	2048	4707	681	960	710	1580	646	2371	1733	320
ALDH6A1	1069	92	567	254	974	3380	660	785	1285	645	1034	46	2458	873	450
ALDH7A1	3427	4297	9970	3947	3783	11113	4953	2561	2273	2758	5989	2789	8779	6535	2389
ALDH8A1	10	16	11	55	33	24	84	30	5	4	3	40	7	19	4
ALDH9A1	6906	2152	10931	1425	11082	9761	6211	9557	11478	5319	9166	1575	16285	17066	3321
ALDOA	149113	41883	236941	55909	78948	64420	78435	42584	35088	118415	508940	63596	71021	153672	13175
ALDOB	28	3	4	4	18	3	3	2	3	2	3	4	1	17	16
ALDOC	580	5040	1434	794	3527	2004	2907	300	1736	1543	4060	693	40	2571	237
ALG10B	865	225	1604	918	2230	1391	1537	834	532	555	912	289	1304	699	385
ALG10	275	79	1322	187	502	396	255	182	183	222	314	333	804	312	630
ALG11	76	6	45	100	75	122	120	50	28	117	33	7	88	57	92
ALG12	762	710	1358	894	2185	1607	1810	1196	1013	2048	2098	638	1779	1513	244
ALG13	1255	688	1220	440	2978	1395	1555	1316	1166	925	796	380	1864	1342	548
ALG14	321	219	487	266	265	1039	467	867	442	577	518	461	671	469	131
ALG1L2	0	0	1	4	11	0	0	0	0	10	3	0	1	0	1
ALG1L	10	8	12	52	923	28	155	22	6	6	36	332	23	1071	4
ALG1	1467	541	1823	1102	1999	2647	2256	1876	1605	1544	5076	1172	2046	1888	561
ALG2	1768	682	2490	1297	3130	3092	2694	2291	2001	3465	1171	1812	3767	2513	1034
ALG3	2079	6585	6400	3098	1773	1608	3027	1078	1097	1962	5694	5215	3280	3071	1151
ALG5	1325	289	1302	938	1449	2878	3165	1789	1078	5991	1727	3098	1660	1671	658
ALG6	1147	401	3419	571	1783	680	1623	807	507	281	1669	1185	1213	1281	752
ALG8	5011	1395	3207	879	2303	1798	1838	1604	1663	2624	4458	2731	4775	4119	1774
ALG9	1061	556	654	745	1607	1697	1604	1006	1162	1136	1191	1307	2600	1571	809
ALKBH1	379	248	409	352	488	822	901	578	525	904	1023	298	998	1491	341
ALKBH2	476	1648	1502	297	1717	739	1745	757	477	399	878	716	1077	1231	361
ALKBH3	627	697	1298	458	643	1643	119	1070	756	1004	1642	20	874	930	546
ALKBH4	470	1118	570	884	899	550	1038	684	658	363	1001	629	807	666	280
ALKBH5	7493	3196	10239	3645	9743	8276	5329	4958	4737	4482	28373	4412	6270	7538	1904
ALKBH6	330	583	390	355	313	218	399	199	125	117	577	344	499	259	59
ALKBH7	854	1162	1015	616	946	880	2091	1559	1265	1157	1668	5748	1544	1102	265
ALKBH8	363	180	304	225	495	507	611	823	487	320	495	313	713	480	476
ALK	4	0	17	17	2	4	7	4	9	10	9	0	5	4	4
ALLC	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1
ALMS1P	21	7	4	1	95	60	20	5	13	0	6	5	17	20	4
ALMS1	3874	1322	2955	1126	4916	4147	5165	1306	2409	1078	1201	1190	6936	7566	1567
ALOX12B	6	1	32	25	15	0	86	0	2	3	0	84	0	5	5
ALOX12P2	4	189	2	47	0	237	2	27	59	63	230	58	0	0	51
ALOX12	2	0	7	177	3	5	2	5	5	6	6	223	15	3	3
ALOX15B	71	26	16	137	29	25	162	351	474	232	704	19	108	2111	53
ALOX15	274	28	3	12	2	71	213	45	0	21	90	4	388	18	2
ALOX5AP	570	169	240	286	87	1246	321	1322	719	1446	304	96	1079	877	484
ALOX5	683	169	593	583	203	2934	377	1930	877	655	1335	28	689	1581	436
ALOXE3	248	18	30	33	34	66	144	14	25	50	4	43	96	33	11
ALPI	0	0	6	1	0	9	0	0	0	0	0	1	0	0	0
ALPK1	1054	1082	1598	384	302	1449	820	1107	1917	1356	824	338	7142	1017	905
ALPK2	61	21	630	219	5	12	19	81	150	182	53	95	139	124	76
ALPK3	260	41	307	221	263	263	243	394	687	767	88	109	545	166	239
ALPL	300	437	373	1181	670	617	364	709	895	72	458	394	240	946	277
ALPPL2	2	0	96	2	0	0	3	0	0	6	0	24	0	0	0
ALPP	1	0	1244	134	1	0	1	0	0	0	0	95	0	1	0
ALS2CL	129	77	594	557	140	168	174	305	391	283	489	671	336	221	131
ALS2CR11	9	2	29	10	3	6	5	1	17	7	4	2	60	1	5
ALS2CR12	3	3	2	1	8	0	9	0	4	5	5	11	65	10	0
ALS2CR4	1342	1133	2147	1537	1493	2778	2093	1725	1213	654	738	1538	2670	1093	778
ALS2CR8	557	29	370	112	539	684	946	383	392	172	195	65	728	180	139
ALS2	1948	878	2038	1130	2076	3032	2622	1300	1304	1152	922	971	4400	1076	671
ALX1	0	30	47	21	9	1	15	2	4	0	0	51	0	20	11
ALX3	53	10	64	195	30	84	63	48	74	43	3	16	44	13	21
ALX4	9	10	40	10	11	5	1	23	3	0	0	0	5	2	35
AMAC1L2	1	2	0	1	3	0	5	3	2	3	4	0	1	1	1
AMAC1L3	0	0	2	1	2	2	1	2	0	0	0	0	2	2	0
AMAC1	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0
AMACR	1154	202	773	167	831	1907	1655	1429	820	720	1024	513	1673	1967	363
AMBN	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
AMBP	153	1	4	3	336	966	1049	70	181	24	15	3	2	7	1
AMBRA1	2958	1138	2482	1799	3887	7018	3235	1867	2211	2885	2798	939	3697	2901	1306
AMD1	3655	2926	20500	7327	7919	4725	3899	3591	4407	3114	2523	12616	3936	8828	3946
AMDHD1	43	11	4	24	279	505	14	14	60	6	661	12	7	26	10
AMDHD2	296	298	288	536	824	301	757	811	546	820	2684	548	867	825	120
AMELX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMELY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMFR	38528	1579	9682	2053	11646	67209	21475	8326	5537	8084	9610	2100	8649	8632	2591
AMHR2	3	0	1	4	28	3	4	6	0	0	10	3	1	1	1
AMH	33	62	6	5	78	2	223	4	14	48	19	3	34	4	4
AMICA1	161	153	138	152	141	185	110	724	463	130	140	14	62	1175	351
AMIGO1	447	6	449	126	217	726	500	163	292	154	85	88	413	121	59
AMIGO2	1543	205	128	4522	46607	1462	1244	1645	5475	3805	10023	172	1821	813	423
AMIGO3	388	226	475	115	324	123	497	178	199	267	920	162	140	153	59
AMMECR1L	2824	761	2715	2497	5643	3096	3784	1607	1588	1989	989	1202	4573	2171	1465
AMMECR1	696	699	2151	749	970	589	1199	1036	508	4173	688	605	2473	1680	1577
AMN1	536	71	1333	226	1692	1186	1959	805	468	363	1026	275	562	827	219
AMN	2	3	12	45	2	0	1	2	0	0	0	264	0	2	1
AMOTL1	1210	379	3457	1539	1294	1607	1114	3416	2408	2199	244	977	1010	1069	3043
AMOTL2	2928	826	1720	16278	1048	6485	1860	2274	5072	5989	6592	2026	3213	5320	979
AMOT	2040	838	2345	2378	2568	2237	617	986	2076	2573	2193	1019	10505	1355	1052
AMPD1	8	4	1	4	4	5	0	8	15	0	2	0	2	4	7
AMPD2	1543	1776	2411	3589	1247	1234	330	1551	1520	1895	998	1866	1796	1065	1009
AMPD3	1159	99	868	348	2113	1339	1799	667	905	588	705	204	1167	798	311
AMPH	1117	14	192	135	144	914	1659	307	283	308	54	12	542	429	53
AMTN	0	0	192	0	0	0	0	1	1	0	1	910	0	6	5
AMT	109	198	38	142	363	105	238	177	150	47	1465	110	105	63	50
AMY1A	5	330	3851	7	2	5	9	7	1	0	1	1	15	3	1985
AMY2A	2	6	50	4	2	2	10	2	2	0	0	1	1	0	23
AMY2B	366	217	334	428	180	63	1062	261	235	50	77	178	428	215	169
AMZ1	528	4	40	31	37	153	334	106	29	32	289	0	60	96	48
AMZ2P1	618	194	353	215	2122	499	1953	506	471	308	969	436	487	1174	163
AMZ2	5039	2721	2090	1476	11250	6441	11970	2653	2997	1495	7451	2911	5448	6135	2682
ANAPC10	287	130	313	130	324	459	451	233	204	289	252	212	458	1274	187
ANAPC11	1860	8469	1898	1545	3743	1781	6721	2895	1287	1956	9148	4271	2713	5028	735
ANAPC13	2330	1813	2522	1948	3549	3849	2642	3857	2227	2883	4346	2235	4958	4583	509
ANAPC16	3797	5064	10786	1438	8019	6295	6075	6660	4715	5749	9714	3327	7790	4154	3656
ANAPC1	3051	593	5256	2181	2896	3204	2001	1079	1662	1187	453	745	3832	1625	1452
ANAPC2	906	1962	1163	1303	2403	1474	2387	1668	1466	1363	1577	815	1993	2309	373
ANAPC4	1097	983	964	1121	1833	1280	1634	1247	838	907	835	1179	1812	1688	585
ANAPC5	7057	5920	17004	3343	11930	15270	8160	5539	3671	2469	10593	5108	7292	5679	3655
ANAPC7	2858	3727	5244	1540	4889	3903	3633	2296	1982	1376	4576	1996	4702	4685	1588
ANGEL1	878	207	1255	539	1917	2675	2681	1128	1711	1407	766	739	1760	1431	564
ANGEL2	2513	862	3247	1445	3551	2083	2317	2473	3007	1468	2000	1129	5887	3161	946
ANGPT1	34	38	430	322	141	58	30	220	458	60	31	17	71	159	95
ANGPT2	247	615	1806	815	772	383	525	539	500	1353	197	63	523	1094	730
